strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,rsi_period14_rsi_upper70_rsi_lower30,2004-03-25,buy,0.04,2482606,99304.24,99404.17456,595.8254400000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2004-04-02,buy,0.04,2480,99.2,99403.57936,0.5952000000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2004-04-05,buy,0.04,3,0.12,124254.46864,0.00072,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2004-06-01,sell,0.06,-2485089,99403.56,148210.7266,894.63204,49701.77999999999
0,rsi_period14_rsi_upper70_rsi_lower30,2005-04-19,buy,0.55,267599,147179.45,150003.63989999998,883.0767000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2005-08-05,sell,0.57,-267599,147179.45,151764.44131999998,915.18858,5351.979999999975
0,rsi_period14_rsi_upper70_rsi_lower30,2006-02-27,buy,0.57,264401,150708.56999999998,158792.21990000003,904.2514199999999,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2006-03-31,sell,0.67,-264401,150708.56999999998,176237.39788000003,1062.89202,26440.100000000024
0,rsi_period14_rsi_upper70_rsi_lower30,2006-09-06,buy,0.71,246494,175010.74,172722.39344000004,1050.0644399999999,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2006-09-07,buy,0.7,250,175.0,160384.14344000004,1.0499999999999998,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2006-10-16,sell,0.88,-246744,175185.74,215832.45512000003,1302.8083199999999,41948.98000000001
0,rsi_period14_rsi_upper70_rsi_lower30,2007-08-06,buy,1.66,129114,214329.24,204217.35968000002,1285.97544,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2007-08-07,buy,1.58,136,214.88,211971.07040000003,1.2892800000000002,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2007-10-16,sell,2.05,-129250,214544.12,263373.7954,1589.7749999999999,50418.37999999998
0,rsi_period14_rsi_upper70_rsi_lower30,2008-01-22,buy,1.64,159476,261540.63999999998,239477.91156,1569.2438399999999,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2008-01-23,buy,1.5,174,261.0,249055.34556000002,1.566,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2008-04-28,buy,1.32,1,1.32,204353.29764,0.00792,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2009-03-26,sell,0.73,-159651,261802.96,115845.97626,699.27138,-145257.73
0,rsi_period14_rsi_upper70_rsi_lower30,2011-08-10,buy,7.98,14416,115039.68000000001,116309.01818,690.23808,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2011-08-11,buy,8.06,14,112.84,119338.64113999998,0.6770400000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2011-12-26,sell,8.3,-14430,115152.52,119052.92714,718.614,4616.48000000001
0,rsi_period14_rsi_upper70_rsi_lower30,2012-10-17,buy,11.28,10480,118214.4,119601.24074000001,709.2864,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2012-10-29,buy,11.07,11,121.77000000000001,115302.83012,0.73062,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2013-04-15,sell,12.08,-10491,118336.16999999998,125977.63244,760.3876799999999,8395.110000000011
0,rsi_period14_rsi_upper70_rsi_lower30,2013-06-07,buy,10.19,12276,125092.43999999999,127805.03780000002,750.5546400000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2013-06-26,buy,9.2,14,128.79999999999998,122905.06500000002,0.7728,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2014-01-27,sell,12.4,-12290,125221.24,151486.689,914.376,27174.760000000006
0,rsi_period14_rsi_upper70_rsi_lower30,2014-12-18,buy,14.399999999999999,10446,150422.4,151419.83460000003,902.5344,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2014-12-19,buy,14.48,11,159.28,152673.71892,0.9556800000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2016-03-22,sell,13.74,-10457,150581.68,142818.62384000001,862.0750800000001,-6902.499999999998
0,rsi_period14_rsi_upper70_rsi_lower30,2017-03-17,buy,12.040000000000001,11779,141819.16,139847.48888000002,850.9149600000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2017-03-20,buy,11.86,12,142.32,139846.63496,0.85392,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2017-05-24,sell,13.520000000000001,-11791,141961.48,158463.20904000002,956.4859199999999,17452.83999999999
0,rsi_period14_rsi_upper70_rsi_lower30,2017-11-16,buy,14.42,10912,157351.04,159483.2628,944.1062400000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2018-05-03,buy,10.7,15,160.5,113647.39980000003,0.9629999999999999,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2018-08-02,sell,12.34,-10927,157511.54,134036.74472,809.03508,-22672.360000000004
0,rsi_period14_rsi_upper70_rsi_lower30,2019-05-14,buy,10.38,12823,133102.74000000002,130673.52827999997,798.6164400000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2019-05-15,buy,10.18,13,132.34,126565.21423999997,0.79404,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2020-06-09,sell,4.71,-12836,133235.08000000002,60097.06887999998,362.74536,-72777.52
0,rsi_period14_rsi_upper70_rsi_lower30,2020-07-23,buy,3.58,16670,59678.6,58238.69727999998,358.0716,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2020-07-24,buy,3.49,17,59.330000000000005,58405.21129999998,0.3559800000000001,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2020-09-15,sell,4.16,-16687,59737.93,69002.12378,416.50752,9679.990000000005
0,rsi_period14_rsi_upper70_rsi_lower30,2022-11-11,buy,8.45,8109,68521.04999999999,70618.24747999999,411.1263,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2023-01-03,sell,12.0,-8109,68521.04999999999,96794.09948,583.8480000000001,28786.950000000004
0,rsi_period14_rsi_upper70_rsi_lower30,2023-04-26,buy,10.02,9592,96111.84,96217.42844,576.67104,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2023-04-27,buy,10.02,10,100.19999999999999,94104.38724000001,0.6012,0.0
0,rsi_period14_rsi_upper70_rsi_lower30,2024-01-02,sell,9.77,-9602,96212.04,93253.458,562.86924,-2400.5
0,rsi_period14_rsi_upper70_rsi_lower30,2024-11-22,buy,10.22,9061,92603.42000000001,93603.93748,555.62052,0.0
